,Kilometers,cars_model,Year,Owner_Type,Insurance_Date,Insurance_Type,RTO,Fuel_Type,Transmission_Type,Price
1969,"60,095 km",2012 Hyundai i10 ERA 1.1 IRDE,August 2008,Second Owner,NA,Expired,DL3C,Petrol,MANUAL,"₹ 200,000"
1970,"69,370 km",2019 Maruti Dzire LXI,May 2011,First Owner,22/3/2021,Third_party,DL2C,Diesel,MANUAL,"₹ 567,000"
1971,"64,374 km",2019 Maruti Swift VXI,February 2011,Second Owner,NA,Expired,DL9C,Petrol,MANUAL,"₹ 601,000"
1972,"23,246 km",2010 Maruti Swift Dzire VXI,March 2017,First Owner,27/1/2021,Insurance Expired,DL7C,Petrol,MANUAL,"₹ 175,000"
1973,"93,100 km",2015 Hyundai Verna FLUIDIC 1.6 VTVT S O AT,October 2011,Second Owner,NA,Comp,DL8C,Diesel,MANUAL,"₹ 595,000"
1974,"62,145 km",2011 Maruti Eeco 5 STR WITH AC PLUSHTR,December 2014,Second Owner,20/9/2021,Third_party,DL8C,Petrol + CNG,MANUAL,"₹ 85,151"
1975,"55,180 km",2016 Mahindra Kuv100 K4 6 STR,January 2013,First Owner,NA,Expired,DL10,Diesel,MANUAL,"₹ 275,913"
1976,"60,687 km",2013 Toyota Innova 2.5 GX 7 STR BS IV,February 2014,Second Owner,5/3/2021,Third_party,DL12,Diesel,MANUAL,"₹ 625,000"
1977,"23,945 km",2020 Maruti Baleno DELTA 1.2 K12 ,January 2018,First Owner,NA,Third_party,KA29,Petrol,MANUAL,"₹ 660,000"
1978,"9,142 km",2008 Ford Fusion PLUS PETROL,June 2017,First Owner,3/7/2021,Insurance Expired,DL4C,Petrol,MANUAL,"₹ 60,000"
1979,"34,453 km",2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,May 2016,Second Owner,NA,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 335,000"
1980,"65,028 km",2020 Honda Amaze 1.2 EMT I VTEC,January 2010,Third Owner,21/8/2021,Comp,DL14,Petrol + CNG,MANUAL,"₹ 655,000"
1981,"70,354 km",2012 Tata Safari Storme 2.2 LX 4X2,March 2011,Third Owner,14/1/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 410,000"
1982,"43,290 km",2011 Maruti Swift Dzire VXI 1.2 BS IV,September 2012,Second Owner,3/12/2021,Comp,DL9C,Petrol,MANUAL,"₹ 225,000"
1983,"11,162 km",2020 MG HECTOR SHARP 2.0 DIESEL,October 2019,First Owner,29/10/2021,Zero_Dep,DL14,Petrol + CNG,MANUAL,"₹ 1,800,000"
1984,"16,231 km",2016 Mahindra Kuv100 K8 6 STR,January 2019,First Owner,16/2/2022,3rd Party,DL8C,Petrol,MANUAL,"₹ 315,000"
1985,"64,571 km",2017 Maruti Baleno RS 1.0 PETROL,February 2010,Second Owner,11/2/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 543,000"
1986,"27,535 km",2014 Maruti Ertiga ZXI,March 2015,Second Owner,10/2/2021,Zero_Dep,DL8C,Petrol,AUTOMATIC,"₹ 500,000"
1987,"64,335 km",2016 Ford Ecosport 1.5AMBIENTE TI VCT,April 2011,Third Owner,23/8/2021,Expired,DL12,Petrol + CNG,MANUAL,"₹ 500,000"
1988,"60,391 km",2017 Honda City SV MT PETROL,August 2016,First Owner,26/3/2021,Zero Depreciation,HR26,Petrol,MANUAL,"₹ 660,000"
1989,NA,2008 Hyundai i10 MAGNA 1.1 IRDE2,March 2013,First Owner,17/9/2021,Comprehensive,DL3C,Diesel,MANUAL,"₹ 137,000"
1990,"50,053 km",2016 Renault Kwid RXL,September 2020,First Owner,20/1/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 207,000"
1991,NA,2014 Maruti Swift Dzire VXI 1.2 BS IV,NA,First Owner,2/2/2023,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 400,000"
1992,"4,961 km",2018 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,August 2008,First Owner,20/2/2021,Comp,DL5C,Petrol,MANUAL,"₹ 312,000"
1993,"35,290 km",2012 Hyundai i10 MAGNA 1.2 KAPPA2,January 2015,First Owner,3/2/2021,3rd Party,HR12,Petrol,MANUAL,"₹ 188,000"
1994,"43,880 km",2018 Maruti IGNIS DELTA 1.2 K12 AMT,NA,NA,11/1/2023,3rd Party,DL4C,Diesel,MANUAL,"₹ 470,000"
1995,"5,797 km",2013 Mahindra XUV500 W8 FWD,January 2020,Third Owner,26/6/2021,Third_party,DL8C,Petrol,MANUAL,"₹ 506,303"
1996,"67,148 km",2018 Hyundai Grand i10 SPORTZ 1.2 KAPPA VTVT,December 2012,NA,18/3/2021,Zero Depreciation,DL8C,NA,MANUAL,"₹ 400,000"
1997,"68,255 km",2012 Renault Duster 110 PS RXZ DIESEL PLUS,January 2011,First Owner,26/1/2021,Expired,DL8C,Diesel,MANUAL,"₹ 330,000"
1998,"13,564 km",2012 Maruti Swift LXI,January 2020,First Owner,16/5/2021,Comprehensive,DL3C,Petrol,MANUAL,"₹ 268,622"
1999,"45,650 km",2014 Maruti Swift Dzire LDI BS IV,March 2016,First Owner,28/12/2020,Comprehensive,DL2C,Petrol,MANUAL,"₹ 309,000"
2000,"32,179 km",2014 Hyundai Verna FLUIDIC 1.6 SX CRDI,March 2017,First Owner,NA,Comp,HR26,Petrol,MANUAL,"₹ 455,000"
2001,"45,945 km",2017 Honda Amaze 1.2 SMT I VTEC,February 2014,First Owner,22/1/2021,NA,DL4C,NA,MANUAL,"₹ 460,000"
2002,"28,571 km",2015 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,January 2016,First Owner,NA,Insurance Expired,DL12,Petrol,MANUAL,"₹ 335,000"
2003,"19,013 km",2014 Maruti Swift Dzire LDI BS IV,March 2017,Second Owner,25/5/2021,Comp,DL2C,Petrol,MANUAL,"₹ 300,000"
2004,"35,126 km",2006 Honda City ZX GXI,April 2008,First Owner,NA,NA,HR51,Petrol,MANUAL,"₹ 120,000"
2005,"25,686 km",2010 Hyundai Accent EXECUTIVE GLE,March 2016,Second Owner,26/11/2020,Insurance Expired,DL3C,Petrol,AUTOMATIC,"₹ 130,000"
2006,"54,312 km",2017 Hyundai Grand i10 SPORTS 1.2 VTVT,December 2014,First Owner,NA,Comprehensive,DL9C,Petrol + CNG,MANUAL,"₹ 425,000"
2007,"32,861 km",2018 Maruti Celerio VXI ,August 2018,First Owner,12/12/2020,Expired,DL9C,Petrol + CNG,MANUAL,"₹ 450,000"
2008,"36,973 km",2015 Honda Amaze 1.2 SMT I VTEC,January 2012,Second Owner,NA,3rd Party,DL3C,Petrol,MANUAL,"₹ 380,000"
2009,"18,537 km",2016 Maruti Swift Dzire LXI OPT,April 2018,First Owner,30/12/2020,Zero_Dep,DL6C,Petrol,MANUAL,"₹ 475,000"
2010,"51,129 km",2011 Honda City S MT PETROL,October 2013,Second Owner,NA,Comprehensive,WB06,Diesel,MANUAL,"₹ 300,000"
2011,"23,768 km",2019 Maruti Dzire VXI,February 2018,First Owner,1/8/2021,Expired,HR19,Petrol,MANUAL,"₹ 635,000"
2012,"49,202 km",2016 Nissan Micra Active XV,December 2012,Second Owner,NA,Comprehensive,DL3C,Diesel,MANUAL,"₹ 366,000"
2013,"60,566 km",2016 Hyundai Grand i10 SPORTS 1.2 VTVT,February 2012,First Owner,19/12/2020,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 299,518"
2014,"60,417 km",2016 Maruti Baleno ALPHA 1.2 K12 ,April 2014,First Owner,NA,Comprehensive,DL8C,Diesel,MANUAL,"₹ 575,000"
2015,"60,938 km",2010 Hyundai i10 ERA 1.1 IRDE,March 2014,Second Owner,13/4/2021,Zero Depreciation,DL3C,Diesel,MANUAL,"₹ 135,000"
2016,"31,064 km",2015 Ford Ecosport 1.5AMBIENTE TI VCT,January 2017,First Owner,NA,Zero_Dep,DL12,Petrol,NA,"₹ 470,000"
2017,"42,102 km",2010 Maruti Alto K10 VXI ,January 2015,First Owner,3/7/2021,Comp,DL2C,Petrol,MANUAL,"₹ 155,000"
2018,"50,482 km",2012 Hyundai Santro Xing GL PLUS,July 2014,First Owner,NA,Comp,DL3C,Diesel,MANUAL,"₹ 250,000"
2019,"96,705 km",2015 Maruti Swift VDI ABS,December 2006,Second Owner,29/9/2021,Comp,DL5C,Petrol,MANUAL,"₹ 380,000"
2020,"12,315 km",2012 Maruti Wagon R 1.0 VXI,September 2010,Third Owner,16/12/2021,Expired,DL6C,Petrol + CNG,MANUAL,"₹ 250,000"
2021,"31,940 km",2012 Maruti Swift Dzire VDI BS IV,January 2017,First Owner,NA,Insurance Expired,HR26,Petrol,MANUAL,"₹ 308,926"
2022,"19,456 km",2017 Maruti Dzire ZXI Plus,December 2018,First Owner,26/10/2020,3rd Party,DL8C,Petrol,NA,"₹ 658,000"
2023,"54,248 km",2012 Mahindra XUV500 W8 FWD,May 2015,First Owner,NA,Comprehensive,HR26,Petrol,MANUAL,"₹ 499,000"
2024,"11,420 km",2019 Hyundai NEW SANTRO ERA 1.1,July 2016,First Owner,9/7/2021,Zero Depreciation,DL5C,Petrol,NA,"₹ 425,000"
2025,"69,308 km",2007 Honda Civic 1.8S MT,April 2011,First Owner,10/7/2021,Comp,DL3C,Petrol,MANUAL,"₹ 150,000"
2026,"14,589 km",2012 Volkswagen Vento HIGHLINE DIESEL,July 2019,First Owner,19/10/2022,3rd Party,DL8C,Petrol,NA,"₹ 250,000"
2027,"24,749 km",2007 Maruti SX4 ZXI,May 2016,First Owner,4/10/2021,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 137,700"
2028,"58,810 km",2015 Maruti Swift LDI BS IV,February 2016,Second Owner,1/7/2021,Zero Depreciation,DL2C,Petrol,MANUAL,"₹ 331,000"
2029,"33,275 km",2012 Hyundai Eon ERA PLUS,July 2016,First Owner,10/8/2021,Zero Depreciation,DL7C,Petrol,MANUAL,"₹ 152,000"
2030,"73,077 km",2010 Maruti Wagon R VXI,January 2010,Second Owner,13/3/2021,Comp,DL8C,Petrol,MANUAL,"₹ 180,000"
2031,"55,443 km",2011 Maruti Ritz LXI ,January 2015,First Owner,24/12/2020,Expired,DL8C,Petrol,MANUAL,"₹ 180,000"
2032,"40,980 km",2015 Honda City SV MT PETROL,November 2010,First Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 483,000"
2033,"14,513 km",2013 Honda Amaze 1.5 SMT I DTEC,September 2012,First Owner,25/9/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 305,000"
2034,"59,404 km",2016 Maruti OMNI E 8 STR,March 2015,First Owner,2/9/2021,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 210,000"
2035,"23,064 km",2010 Maruti Swift VXI,January 2012,First Owner,NA,Expired,DL9C,Petrol,MANUAL,"₹ 200,000"
2036,"63,999 km",2009 Toyota Corolla Altis 1.8 G,October 2012,First Owner,1/2/2021,Insurance Expired,DL3C,Diesel,MANUAL,"₹ 250,000"
2037,"18,697 km",2012 Tata Indigo ECS LS CR4 BS IV,August 2017,First Owner,9/12/2020,Zero_Dep,DL9C,Petrol,MANUAL,"₹ 95,000"
2038,"28,385 km",2014 Maruti Ertiga VXI Anniversary Edition ,March 2012,First Owner,NA,Expired,DL2C,Diesel,MANUAL,"₹ 500,000"
2039,"2,798 km",2011 Ford Figo 1.2 EXI DURATEC,December 2019,First Owner,1/1/2021,Zero Depreciation,DL4C,Petrol,MANUAL,"₹ 140,000"
2040,"58,503 km",2016 Datsun Redi Go SPORT,March 2007,Second Owner,NA,Comp,UP16,Petrol,MANUAL,"₹ 160,000"
2041,"63,733 km",2012 Ford Figo 1.4 LXI DURATORQ ,October 2012,Second Owner,4/11/2020,Insurance Expired,DL10,Diesel,MANUAL,"₹ 120,000"
2042,"104,995 km",2015 Ford Ecosport 1.5TITANIUM TDCI,December 2007,First Owner,NA,Comp,JH08,Petrol + CNG,MANUAL,"₹ 530,000"
2043,"59,966 km",2014 Ford Ecosport 1.5TITANIUM TDCI,October 2015,First Owner,15/11/2021,Zero Depreciation,DL8C,Diesel,MANUAL,"₹ 460,000"
2044,"57,399 km",2011 Hyundai Santro Xing GL PLUS,November 2012,Second Owner,NA,Expired,DL3C,Petrol,MANUAL,"₹ 145,000"
2045,"52,228 km",2011 Hyundai Santro Xing GL PLUS,December 2010,Second Owner,25/3/2021,Expired,DL3C,Petrol + CNG,MANUAL,"₹ 145,000"
2046,"72,959 km",2020 Hyundai GRAND I10 NIOS SPORTZ PETROL ,May 2011,Second Owner,NA,Expired,DL9C,Petrol + CNG,MANUAL,"₹ 655,000"
2047,"47,136 km",2017 Maruti Eeco 5 STR CNG WITH AC PLUSHTR,January 2015,Second Owner,16/1/2021,Zero Depreciation,DL9C,Petrol,MANUAL,"₹ 313,500"
2048,"51,581 km",2010 Maruti Wagon R LXI MINOR,December 2013,First Owner,4/11/2021,Zero_Dep,HR26,Diesel,MANUAL,"₹ 125,000"
2049,"11,599 km",2013 Maruti Swift Dzire VXI 1.2 BS IV,December 2016,Second Owner,15/11/2020,Comp,DL8C,Petrol,MANUAL,"₹ 310,000"
2050,"51,652 km",2016 Maruti Swift Dzire VXI 1.2 BS IV,September 2010,First Owner,NA,Insurance Expired,JH15,Petrol,MANUAL,"₹ 480,000"
2051,"81,796 km",2011 Maruti Alto LXI CNG,October 2009,First Owner,20/10/2021,Comprehensive,DL8C,Petrol,MANUAL,"₹ 122,000"
2052,"63,570 km",2010 Maruti Wagon R 1.0 LXI,October 2012,Second Owner,NA,Third_party,DL9C,Diesel,MANUAL,"₹ 185,000"
2053,"10,145 km",2010 Hyundai i20 MAGNA O 1.2,December 2014,Second Owner,29/3/2021,Insurance Expired,HR26,Petrol,MANUAL,"₹ 190,000"
2054,"68,452 km",2012 Hyundai Verna FLUIDIC 1.6 SX CRDI,February 2011,First Owner,NA,Insurance Expired,DL11,Petrol,MANUAL,"₹ 456,000"
2055,"72,225 km",2014 Hyundai Grand i10 SPORTZ 1.1 CRDI,October 2016,First Owner,28/6/2021,Comprehensive,HR26,Petrol,MANUAL,"₹ 280,000"
2056,"90,204 km",2013 Maruti Wagon R 1.0 VXI,March 2012,First Owner,NA,Comp,DL2C,Diesel,NA,"₹ 267,000"
2057,"46,519 km",2019 Renault Kwid RXT Opt,May 2015,First Owner,11/6/2021,Zero Depreciation,DL12,Diesel,MANUAL,"₹ 507,000"
2058,"45,312 km",2018 Maruti Wagon R 1.0 LXI CNG,June 2014,Second Owner,NA,Comp,DL9C,Diesel,NA,"₹ 470,000"
2059,"75,940 km",2014 Maruti Ritz LDI ,February 2011,First Owner,30/4/2021,Comprehensive,DL9C,Petrol,MANUAL,"₹ 270,000"
2060,"75,940 km",2017 Maruti Dzire VXI,February 2011,First Owner,30/4/2021,Comprehensive,DL2C,Petrol,MANUAL,"₹ 500,000"
2061,"1,892 km",2016 Maruti Eeco 5 STR WITH AC PLUS HTR,February 2020,First Owner,18/2/2021,Zero_Dep,DL1C,Petrol,MANUAL,"₹ 240,672"
2062,"38,031 km",2011 Hyundai i10 ERA 1.1 IRDE,September 2017,First Owner,31/3/2021,Insurance Expired,HR51,Petrol + CNG,NA,"₹ 200,000"
2063,"63,240 km",2012 Ford Figo 1.4 ZXI DURATORQ ,February 2010,First Owner,NA,Third_party,DL4C,Petrol + CNG,MANUAL,"₹ 140,000"
2064,"53,526 km",2017 Maruti Swift LXI OPT,June 2013,First Owner,17/5/2021,Comp,DL8C,Petrol,NA,"₹ 382,000"
2065,"18,069 km",2016 Maruti Wagon R 1.0 LXI,June 2016,First Owner,18/6/2021,Third_party,HR26,Petrol,MANUAL,"₹ 265,959"
2066,"67,161 km",2016 Renault Kwid RXT,December 2011,First Owner,30/12/2020,Comp,DL8C,Petrol + CNG,NA,"₹ 237,000"
2067,"35,002 km",2018 Maruti Dzire LXI,September 2010,First Owner,29/9/2021,Insurance Expired,DL1C,Petrol,MANUAL,"₹ 550,000"
2068,"64,965 km",2012 Maruti Wagon R 1.0 LXI CNG,November 2010,Second Owner,NA,Comp,DL5C,Petrol + CNG,MANUAL,"₹ 180,000"
2069,"35,404 km",2013 Ford Ecosport 1.5TITANIUM TDCI,June 2012,First Owner,22/6/2021,Comprehensive,DL10,Diesel,MANUAL,"₹ 370,000"
2070,"58,342 km",2015 Maruti Ritz VDI ,August 2014,Second Owner,14/6/2020,Comp,DL2C,Diesel,MANUAL,"₹ 333,081"
2071,"54,973 km",2013 Hyundai i20 MAGNA O 1.2,March 2013,First Owner,17/3/2021,Comprehensive,DL4C,Petrol,MANUAL,"₹ 299,000"
2072,"5,302 km",2014 Hyundai Elite i20 ASTA 1.2,August 2019,First Owner,6/1/2021,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 500,000"
2073,"5,021 km",2012 Maruti Ertiga VDI,August 2018,First Owner,1/11/2021,Zero_Dep,DL3C,Petrol + CNG,MANUAL,"₹ 344,000"
2074,"34,854 km",2015 Hyundai Elite i20 MAGNA 1.4 CRDI,August 2014,First Owner,28/6/2021,Insurance Expired,DL10,Diesel,MANUAL,"₹ 550,000"
2075,"31,208 km",2018 Maruti Ciaz DELTA 1.5 SHVS VVT,June 2017,First Owner,NA,3rd Party,DL1C,Petrol,MANUAL,"₹ 699,000"
2076,"45,778 km",2013 Maruti Swift Dzire VDI,April 2016,First Owner,15/11/2021,Expired,HR26,Petrol + CNG,MANUAL,"₹ 304,000"
2077,"38,290 km",2018 Maruti Dzire VXI,October 2011,First Owner,NA,Comprehensive,UK18,Petrol,MANUAL,"₹ 540,000"
2078,"73,716 km",2011 Hyundai i20 SPORTZ 1.2 O,January 2012,First Owner,31/1/2021,3rd Party,DL2C,Diesel,NA,"₹ 245,000"
2079,"38,627 km",2018 Hyundai Verna 1.6 SX VTVT,June 2017,First Owner,7/6/2021,Comp,DL4C,Petrol,MANUAL,"₹ 900,000"
2080,"52,425 km",2018 Maruti Celerio ZXI OPT,May 2016,First Owner,7/1/2021,Insurance Expired,DL2C,Petrol,MANUAL,"₹ 400,000"
2081,"36,064 km",2015 Maruti Swift Dzire VXI 1.2 BS IV,January 2016,First Owner,19/7/2021,Expired,DL2C,Petrol,MANUAL,"₹ 450,000"
2082,"20,305 km",2018 Hyundai Grand i10 SPORTS 1.2 VTVT,October 2018,First Owner,4/5/2021,Insurance Expired,DL12,Petrol,MANUAL,"₹ 460,000"
2083,"67,740 km",2013 Hyundai i10 MAGNA 1.2 KAPPA2,December 2012,First Owner,10/10/2020,Insurance Expired,OD02,Petrol + CNG,MANUAL,"₹ 243,000"
2084,"54,426 km",2010 Maruti Ritz LXI ,October 2013,Second Owner,23/6/2021,Comprehensive,DL9C,Diesel,MANUAL,"₹ 135,000"
2085,NA,2011 Hyundai i10 SPORTZ 1.2 KAPPA2,July 2015,First Owner,26/9/2021,Comprehensive,DL3C,Diesel,MANUAL,"₹ 200,000"
2086,"53,183 km",2012 Volkswagen Jetta COMFORTLINE 2.0L TDI,NA,First Owner,NA,Third_party,DL1C,Petrol,MANUAL,"₹ 387,091"
2087,"43,589 km",2015 Ford Ecosport 1.5 TITANIUM TI VCT AT,February 2013,NA,19/12/2020,Zero Depreciation,DL10,Petrol,MANUAL,"₹ 515,000"
2088,"35,025 km",2015 Honda Jazz 1.2 V MT ,September 2014,First Owner,26/2/2021,3rd Party,HR26,NA,MANUAL,"₹ 375,540"
2089,"59,899 km",2012 Maruti Ertiga ZDI,May 2012,Third Owner,NA,NA,DL8C,Diesel,MANUAL,"₹ 404,000"
2090,"23,560 km",2012 Maruti Swift Dzire VDI BS IV,October 2015,Second Owner,30/4/2021,Zero Depreciation,DL9C,Diesel,MANUAL,"₹ 250,000"
2091,"18,221 km",2018 Maruti Eeco 5 STR WITH AC PLUSHTR,July 2018,First Owner,NA,Zero Depreciation,DL5C,Petrol,MANUAL,"₹ 400,000"
2092,"54,919 km",2018 Datsun Redi Go A,February 2013,First Owner,22/9/2021,Comp,DL9C,Diesel,MANUAL,"₹ 225,000"
2093,"33,856 km",2019 Honda Amaze 1.2 VXMT I VTEC,April 2018,First Owner,NA,Zero Depreciation,DL11,Petrol,MANUAL,"₹ 675,000"
2094,"58,007 km",2016 Maruti Baleno ALPHA 1.2 K12 ,February 2011,First Owner,21/6/2022,Insurance Expired,DL2C,Petrol,MANUAL,"₹ 470,000"
2095,"5,162 km",2012 Nissan Sunny XL PETROL,August 2018,First Owner,NA,Zero Depreciation,DL8C,Petrol,MANUAL,"₹ 181,155"
2096,"10,594 km",2009 Honda City S MT PETROL,September 2018,First Owner,27/10/2020,Zero Depreciation,DL4C,Petrol,MANUAL,"₹ 208,704"
2097,"42,649 km",2015 Volkswagen Polo COMFORTLINE 1.2L PETROL,October 2015,First Owner,NA,Zero_Dep,DL8C,Petrol,NA,"₹ 390,000"
2098,"28,682 km",2016 Ford Ecosport 1.5TITANIUM TDCI,June 2018,First Owner,8/7/2021,Zero Depreciation,DL9C,Petrol + CNG,MANUAL,"₹ 670,000"
2099,"42,355 km",2008 Maruti Wagon R LXI MINOR,May 2013,First Owner,12/7/2021,Comprehensive,DL8C,Petrol,NA,"₹ 90,000"
2100,"54,361 km",2018 Maruti Wagon R 1.0 LXI,January 2010,First Owner,18/4/2021,Expired,DL9C,Petrol,MANUAL,"₹ 325,000"
2101,"64,692 km",2018 Hyundai NEW SANTRO ASTA 1.1 MT,March 2011,Second Owner,NA,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 465,000"
2102,"63,204 km",2016 Honda Amaze 1.2 SMT I VTEC,January 2012,First Owner,27/7/2021,Third_party,DL4C,Diesel,MANUAL,"₹ 460,000"
2103,"36,525 km",2010 Maruti Wagon R LXI MINOR,March 2015,Second Owner,21/12/2020,Expired,DL1C,Petrol,AUTOMATIC,"₹ 150,000"
2104,"49,946 km",2012 Skoda Rapid ELEGANCE 1.6 TDI MT,August 2015,First Owner,4/4/2021,Insurance Expired,DL8C,Petrol,MANUAL,"₹ 180,000"
2105,"64,198 km",2010 Honda City 1.5 E MT PETROL,October 2012,First Owner,16/9/2021,Expired,DL4C,Diesel,MANUAL,"₹ 230,100"
2106,"65,330 km",2015 Maruti Ciaz ZXI PLUS,July 2012,First Owner,27/12/2020,Comp,DL9C,Diesel,MANUAL,"₹ 600,000"
2107,NA,2014 Hyundai Elite i20 MAGNA 1.4 CRDI,December 2018,First Owner,23/9/2020,Expired,DL2C,Petrol,MANUAL,"₹ 361,246"
2108,"7,664 km",2013 Hyundai i10 ASTA 1.2 KAPPA2,October 2018,First Owner,NA,Comprehensive,DL12,Petrol,MANUAL,"₹ 211,000"
2109,"13,357 km",2017 Maruti Swift Dzire TOUR PETROL,NA,First Owner,2/2/2021,Zero_Dep,DL3C,Petrol + CNG,MANUAL,"₹ 422,000"
2110,"27,988 km",2017 Honda Amaze 1.2 SMT I VTEC,February 2019,NA,NA,Zero Depreciation,DL1C,Petrol,MANUAL,"₹ 480,000"
2111,"47,663 km",2015 Hyundai Grand i10 ASTA 1.2 KAPPA VTVT OPT,April 2016,First Owner,10/4/2021,Comp,DL8C,NA,MANUAL,"₹ 450,000"
2112,"71,113 km",2010 Ford Figo 1.2 ZXI DURATEC ,January 2012,First Owner,NA,NA,KA51,Petrol,MANUAL,"₹ 182,000"
2113,"65,258 km",2016 Hyundai Grand i10 SPORTZ 1.1 CRDI,September 2009,Second Owner,14/11/2020,Insurance Expired,DL10,Petrol,MANUAL,"₹ 358,000"
2114,"48,490 km",2016 Maruti Baleno DELTA DDIS 190 ,August 2015,First Owner,27/12/2020,Zero Depreciation,DL3C,Petrol,MANUAL,"₹ 445,000"
2115,"37,344 km",2012 Chevrolet Beat LS DIESEL,March 2016,First Owner,NA,Insurance Expired,DL1C,Diesel,MANUAL,"₹ 102,000"
2116,"27,963 km",2012 Maruti Eeco 5 STR WITH AC PLUSHTR,January 2008,First Owner,26/1/2021,Third_party,DL2C,Petrol + CNG,MANUAL,"₹ 180,000"
2117,"36,526 km",2015 Maruti Wagon R 1.0 LXI,April 2018,First Owner,NA,Comprehensive,DL3C,Petrol,MANUAL,"₹ 240,000"
2118,"25,585 km",2012 Hyundai i20 ASTA 1.2,October 2018,First Owner,25/3/2021,Zero Depreciation,DL2C,Petrol,MANUAL,"₹ 315,000"
2119,"27,212 km",2009 Honda City S MT PETROL,August 2016,First Owner,NA,Zero_Dep,DL3C,Petrol,MANUAL,"₹ 241,888"
2120,"34,331 km",2016 Hyundai Grand i10 MAGNA 1.2 KAPPA VTVT,January 2010,First Owner,31/5/2021,Comp,WB26,Petrol,MANUAL,"₹ 347,000"
2121,"60,311 km",2012 Volvo S60 KINETIC D3,January 2012,First Owner,12/2/2021,Zero_Dep,DL1C,Diesel,MANUAL,"₹ 650,000"
2122,"59,710 km",2017 Maruti Eeco 7 STR,February 2010,Second Owner,NA,Third_party,DL4C,Petrol,MANUAL,"₹ 295,000"
2123,"34,287 km",2015 Maruti Wagon R 1.0 LXI,January 2015,First Owner,18/8/2021,Zero_Dep,DL8C,Petrol,MANUAL,"₹ 198,550"
2124,"56,626 km",2015 Hyundai Elite i20 MAGNA 1.2,December 2014,First Owner,NA,Expired,DL2C,Diesel,MANUAL,"₹ 500,000"
2125,"56,671 km",2009 Hyundai i10 MAGNA 1.2,February 2013,Second Owner,12/4/2021,Third_party,DL10,Petrol,MANUAL,"₹ 125,000"
2126,"34,070 km",2010 Hyundai i10 SPORTZ 1.2,March 2017,First Owner,26/12/2020,3rd Party,DL8C,Petrol,MANUAL,"₹ 125,000"
2127,"32,374 km",2014 Maruti Swift Dzire VDI BS IV,November 2017,First Owner,NA,Zero_Dep,DL8C,Petrol,NA,"₹ 460,000"
2128,"18,413 km",2016 Hyundai Eon MAGNA PLUS,October 2015,First Owner,8/4/2021,Insurance Expired,DL12,Petrol,MANUAL,"₹ 231,503"
2129,"51,142 km",2018 Renault Kwid CLIMBER 1.0,January 2010,First Owner,NA,Comp,DL3C,Petrol,MANUAL,"₹ 300,000"
2130,"51,738 km",2011 Hyundai Santro Xing GL,April 2016,First Owner,17/12/2020,3rd Party,DL4C,Diesel,MANUAL,"₹ 118,000"
2131,"70,224 km",2010 Hyundai i10 SPORTZ 1.2,February 2016,First Owner,19/9/2021,Expired,DL3C,Diesel,NA,"₹ 180,000"
2132,"71,344 km",2012 Maruti A Star VXI,June 2012,Second Owner,NA,3rd Party,DL5C,Diesel,MANUAL,"₹ 200,000"
2133,"52,503 km",2011 Hyundai i20 SPORTZ 1.2 O,November 2012,First Owner,11/1/2021,Third_party,DL2C,Petrol + CNG,MANUAL,"₹ 260,000"
2134,"41,973 km",2011 Maruti Ritz LDI ,July 2015,First Owner,27/2/2021,Expired,DL8C,Petrol,MANUAL,"₹ 155,000"
2135,"60,977 km",2013 Hyundai i20 SPORTZ 1.4 CRDI,March 2012,Second Owner,NA,3rd Party,DL2C,Petrol,MANUAL,"₹ 300,000"
2136,"69,373 km",2011 Tata Nano LX,February 2009,First Owner,27/12/2020,Expired,DL3C,Petrol,AUTOMATIC,"₹ 35,000"
2137,"51,649 km",2010 Hyundai i10 ERA 1.1 IRDE,December 2016,First Owner,NA,Zero Depreciation,DL7C,Petrol,NA,"₹ 135,000"
2138,"40,674 km",2010 Hyundai i20 ASTA 1.2 O WITH SUNROOF,January 2012,Second Owner,26/8/2021,Third_party,DL8C,Diesel,MANUAL,"₹ 300,000"
2139,"36,308 km",2009 Maruti Wagon R LXI,July 2017,First Owner,4/2/2021,Third_party,DL9C,Petrol + CNG,NA,"₹ 140,000"
2140,"78,194 km",2008 Maruti Wagon R LXI,February 2015,First Owner,4/2/2021,Third_party,DL3C,Petrol,MANUAL,"₹ 103,500"
